salt,observable,haslam_saft_gamma_mie_points,haslam_saft_gamma_mie_aad_percent,current_epcsaft_points,current_epcsaft_aad_percent,comparison_status,source_subset_status,aad_method
LiCl,osmotic_coefficient,23,1.87,0,,NOT_EVALUATED,UNRESOLVED_WRONG_SOURCE,conventional_relative_percent_aad_method_assumption
LiCl,gamma_pm_m,23,5.79,23,4.177841081579036,CROSS_EOS_EXACT_SOURCE_SUBSET,EXACT_HAMER_WU_SUBSET,conventional_relative_percent_aad_method_assumption
LiBr,osmotic_coefficient,23,0.53,0,,NOT_EVALUATED,EXACT_HAMER_WU_SUBSET,conventional_relative_percent_aad_method_assumption
LiBr,gamma_pm_m,23,2.48,23,5.0827127030774655,CROSS_EOS_EXACT_SOURCE_SUBSET,EXACT_HAMER_WU_SUBSET,conventional_relative_percent_aad_method_assumption
LiI,osmotic_coefficient,23,2.07,0,,NOT_EVALUATED,EXACT_HAMER_WU_SUBSET,conventional_relative_percent_aad_method_assumption
LiI,gamma_pm_m,23,3.33,0,,NOT_EVALUATED,EXACT_HAMER_WU_SUBSET,conventional_relative_percent_aad_method_assumption
NaCl,osmotic_coefficient,40,0.63,0,,NOT_EVALUATED,UNRESOLVED_MULTI_SOURCE,conventional_relative_percent_aad_method_assumption
NaCl,gamma_pm_m,12,4.05,23,4.8458564858991755,CROSS_EOS_PARTIAL_SOURCE_GRID,UNRESOLVED_COUNT_MISMATCH,conventional_relative_percent_aad_method_assumption
NaBr,osmotic_coefficient,23,0.95,0,,NOT_EVALUATED,UNRESOLVED_WRONG_SOURCE,conventional_relative_percent_aad_method_assumption
NaBr,gamma_pm_m,23,3.17,23,7.1687531960535615,CROSS_EOS_EXACT_SOURCE_SUBSET,EXACT_HAMER_WU_SUBSET,conventional_relative_percent_aad_method_assumption
NaI,osmotic_coefficient,23,0.88,0,,NOT_EVALUATED,EXACT_HAMER_WU_SUBSET,conventional_relative_percent_aad_method_assumption
NaI,gamma_pm_m,23,2.63,0,,NOT_EVALUATED,EXACT_HAMER_WU_SUBSET,conventional_relative_percent_aad_method_assumption
KCl,osmotic_coefficient,37,0.88,0,,NOT_EVALUATED,UNRESOLVED_MULTI_SOURCE,conventional_relative_percent_aad_method_assumption
KCl,gamma_pm_m,23,1.27,23,4.14154048124009,CROSS_EOS_EXACT_SOURCE_SUBSET,EXACT_HAMER_WU_SUBSET,conventional_relative_percent_aad_method_assumption
KBr,osmotic_coefficient,24,0.67,0,,NOT_EVALUATED,UNRESOLVED_COUNT_MISMATCH,conventional_relative_percent_aad_method_assumption
KBr,gamma_pm_m,21,1.08,23,2.9375575833916145,CROSS_EOS_PARTIAL_SOURCE_GRID,UNRESOLVED_COUNT_MISMATCH,conventional_relative_percent_aad_method_assumption
KI,osmotic_coefficient,23,0.35,0,,NOT_EVALUATED,EXACT_HAMER_WU_SUBSET,conventional_relative_percent_aad_method_assumption
KI,gamma_pm_m,23,0.55,0,,NOT_EVALUATED,EXACT_HAMER_WU_SUBSET,conventional_relative_percent_aad_method_assumption
